team,market,odds,model_prob,implied_prob,EV,edge
Tunisia,group,1.8,0.2973,0.5556,-0.4649,-0.2583
Mexico,group,1.2,0.4449,0.8333,-0.4661,-0.3884
Norway,group,1.2,0.4333,0.8333,-0.48,-0.4
Scotland,group,1.29,0.3986,0.7752,-0.4858,-0.3766
Netherlands,group,1.1,0.4629,0.9091,-0.4908,-0.4462
Morocco,group,1.13,0.4404,0.885,-0.5023,-0.4446
Germany,final,6.5,0.0745,0.1538,-0.5157,-0.0793
Uruguay,group,1.17,0.4079,0.8547,-0.5228,-0.4468
Norway,final,11.0,0.0429,0.0909,-0.5281,-0.048
Senegal,group,1.5,0.3131,0.6667,-0.5304,-0.3536
Belgium,group,1.03,0.4407,0.9709,-0.5461,-0.5302
Iran,group,1.5,0.2995,0.6667,-0.5508,-0.3672
Egypt,final,101.0,0.0041,0.0099,-0.5859,-0.0058
South Korea,group,1.44,0.2844,0.6944,-0.5905,-0.41
Italy,final,15.0,0.0272,0.0667,-0.592,-0.0395
Austria,group,1.25,0.322,0.8,-0.5975,-0.478
United States,group,1.2,0.3245,0.8333,-0.6106,-0.5088
Netherlands,final,8.0,0.047,0.125,-0.624,-0.078
Cape Verde,final,401.0,0.0009,0.0025,-0.6391,-0.0016
Belgium,final,15.0,0.0234,0.0667,-0.649,-0.0433
Ivory Coast,group,1.22,0.2866,0.8197,-0.6503,-0.5331
Algeria,group,1.36,0.2562,0.7353,-0.6516,-0.4791
United States,final,29.0,0.0116,0.0345,-0.6636,-0.0229
Egypt,group,1.36,0.2436,0.7353,-0.6687,-0.4917
Uzbekistan,group,2.75,0.12,0.3636,-0.67,-0.2436
Turkey,final,67.0,0.0046,0.0149,-0.6918,-0.0103
Ukraine,final,101.0,0.0023,0.0099,-0.7677,-0.0076
Saudi Arabia,group,1.8,0.1116,0.5556,-0.7991,-0.444
Qatar,group,2.75,0.0698,0.3636,-0.8081,-0.2938
Ghana,final,101.0,0.0018,0.0099,-0.8182,-0.0081
Ghana,group,1.53,0.0968,0.6536,-0.8519,-0.5568
New Zealand,group,2.38,0.0421,0.4202,-0.8998,-0.3781
Jordan,final,501.0,0.0002,0.002,-0.8998,-0.0018
Cape Verde,group,2.63,0.037,0.3802,-0.9027,-0.3432
New Zealand,final,301.0,0.0003,0.0033,-0.9097,-0.003
DR Congo,final,201.0,0.0004,0.005,-0.9196,-0.0046
Jordan,group,3.4,0.0225,0.2941,-0.9235,-0.2716
Qatar,final,251.0,0.0003,0.004,-0.9247,-0.0037
Panama,group,2.75,0.0256,0.3636,-0.9296,-0.338
Curaçao,final,401.0,0.0001,0.0025,-0.9599,-0.0024
Panama,final,301.0,0.0001,0.0033,-0.9699,-0.0032
Haiti,group,8.0,0.003,0.125,-0.976,-0.122
Haiti,final,501.0,0.0,0.002,-1.0,-0.002
Iraq,final,301.0,0.0,0.0033,-1.0,-0.0033
